;PUNT_COMP_CIUDADANA;PUNT_C_NATURALES;PUNT_GLOBAL;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_RAZONA_CUANT;PUNT_SOCIALES_CIUDADANAS
2015_1;8.98427017677707;9.463383710742454;35.949224544078774;7.322968807058181;6.771286999413186;9.184853619117238;10.068123976962564;9.43767105929898
2015_2;7.684467834067216;8.123989785985566;34.60712547535479;7.09901717662091;6.891845951105738;9.020390484153317;10.138455632284947;8.602613193936714
2016_1;;8.43446687723727;;8.60219399038879;7.05433310562836;10.774658834584855;;9.486214336904531
2016_1_V2;;8.463262967527264;;7.838332158949459;7.152767504959903;11.70605793876245;;9.853709490765194
2016_2;;7.747023606595265;44.30448816560977;13.793230941971588;4.613034095132446;11.05375489166007;;7.256926205232405
2017_1;;5.88055366394911;35.077697625991476;13.118535288437977;5.523865712272247;6.322253924495101;;6.942765582486956
