;PUNT_COMP_CIUDADANA;PUNT_C_NATURALES;PUNT_GLOBAL;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_RAZONA_CUANT;PUNT_SOCIALES_CIUDADANAS
2015_1;8.763973383616094;9.110908926187777;35.39449130281618;7.291972597420735;6.606990452763601;9.088094326733703;9.930512231756113;9.236623274085806
2015_2;7.538905002129374;7.700460385383163;32.86282388814858;7.000267861168585;6.782962452992101;8.54166956504288;9.811124950270214;8.342471810084861
2016_1;;8.104897855472002;;8.242598060538262;6.798299347392576;10.473157014157337;;9.310840504530114
2016_1_V2;;8.437580203440179;;7.462687506150627;7.212525019691243;10.595900251311466;;9.488201632606614
2016_2;;7.825997406957836;43.498138128080555;13.705930836615424;4.547756600539265;11.013213161265355;;7.723846719939885
2017_1;;5.869545478828662;35.10941791137362;13.110334003108719;5.5192203171733505;6.319550314134762;;6.94041038864631
