;PUNT_COMP_CIUDADANA;PUNT_C_NATURALES;PUNT_GLOBAL;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_RAZONA_CUANT;PUNT_SOCIALES_CIUDADANAS
2015_1;9.016988593872174;9.710890914925512;38.26824691437093;7.69670323147089;6.8811727777966984;9.575134413951758;10.323307226561909;9.544396186558428
2015_2;7.765344210464107;7.644074524139232;36.06257822540262;7.665072164926055;7.261803942613428;9.059845112518754;10.086748431325917;8.70892304841524
2016_1;;9.349755308502354;;10.258675248738003;7.454587519594602;12.06815404342716;;10.499778237703376
2016_1_V2;;9.227642564172601;;11.153886494515568;7.33456446635471;12.266407343244706;;10.197808926069387
2016_2;;9.39518918887288;47.48919317305524;11.813915606503453;9.317413710204779;11.665481170263536;;10.815059207974551
2017_1;;3.17626568758399;14.599667956261905;8.403773413526745;3.5606279420389075;3.31664142908836;;3.332189169263344
