VIVIENDA_PROPIA;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
Carece;24.82%;26.86%;24.63%;28.63%;28.21%;29.96%;29.89%;18.64%;28.23%;22.39%;30.8%;30.96%;34.7%;33.02%;39.67%;37%;41.17%;35.93%;43.37%;36.73%;35.4%;43.82%;36.56%;38.24%;38.79%;39.68%;42.69%;29.29%;38.18%;46.36%;35.85%;38.85%
Posee;75.18%;73.14%;75.37%;71.37%;71.79%;70.04%;70.11%;81.36%;71.77%;77.61%;69.2%;69.04%;65.3%;66.98%;60.33%;63%;58.83%;64.07%;56.63%;63.27%;64.6%;56.18%;63.44%;61.76%;61.21%;60.32%;57.31%;70.71%;61.82%;53.64%;64.15%;61.15%
