REC_IES;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
No recibió;93.36%;91.32%;20.42%;34.4%;27.14%;38.05%;39.96%;46.87%;55.25%;95.8%;95.25%;92.41%;92.2%;86.58%;85.11%;80.45%;75.01%;63.26%;59.96%;53.52%;59%;49.02%;48.39%;45.88%;46.52%;43.22%;32.03%;46.77%;39.32%;53.84%;36.46%;99%
Recibió;6.64%;8.68%;79.58%;65.6%;72.86%;61.95%;60.04%;53.13%;44.75%;4.2%;4.75%;7.59%;7.8%;13.42%;14.89%;19.55%;24.99%;36.74%;40.04%;46.48%;41%;50.98%;51.61%;54.12%;53.48%;56.78%;67.97%;53.23%;60.68%;46.16%;63.54%;1%
