REC_ICTX;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
No recibió;90.68%;90.88%;91.18%;92.67%;92.48%;93.07%;92.24%;91.72%;92.23%;92.89%;91.5%;90.9%;90.54%;90.63%;88.22%;89.06%;88.59%;88.46%;87.58%;89.51%;89.37%;89.6%;89.13%;91.25%;91.43%;92.07%;93.07%;92.88%;94.62%;96.53%;96.77%;98.18%
Recibió;9.32%;9.12%;8.82%;7.33%;7.52%;6.93%;7.76%;8.28%;7.77%;7.11%;8.5%;9.1%;9.46%;9.37%;11.78%;10.94%;11.41%;11.54%;12.42%;10.49%;10.63%;10.4%;10.87%;8.75%;8.57%;7.93%;6.93%;7.12%;5.38%;3.47%;3.23%;1.82%
