TIPO;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
DESERTORES;0;0;276;266;389;421;448;502;591;647;873;852;925;1033;1054;1002;1057;1092;1200;1133;1181;1140;1397;1464;1322;1282;1322;1034;792;1584;1156;1099
MATRICULADOS;1460;2263;3550;4671;5944;7039;8188;9058;10654;11646;12976;13839;14747;15524;16560;16934;17388;16832;17726;17995;18144;17858;17606;17467;18335;18058;18376;18745;17996;17715;17936;17780
