TIPO;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
TASA DE DESERCIÓN;0%;0%;18.9%;11.75%;10.96%;9.01%;7.54%;7.13%;7.22%;7.14%;8.19%;7.32%;7.13%;7.46%;7.15%;6.45%;6.38%;6.45%;6.9%;6.73%;6.66%;6.34%;7.7%;8.2%;7.51%;7.34%;7.21%;5.73%;4.31%;8.45%;6.42%;6.2%
TASA DE RETENCIÓN;0%;0%;81.1%;88.25%;89.04%;90.99%;92.46%;92.87%;92.78%;92.86%;91.81%;92.68%;92.87%;92.54%;92.85%;93.55%;93.62%;93.55%;93.1%;93.27%;93.34%;93.66%;92.3%;91.8%;92.49%;92.66%;92.79%;94.27%;95.69%;91.55%;93.58%;93.8%
