TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
TASADESERCION;0;0;21.53;14.24;12.96;13.01;10.65;11.64;11.2;11.39;10.09;11.19;10.92;12.06;10.95;12.68;10.71;10.75;10.13;11.88;10.57;11.8;11.13;11.29;10.91;11.51;10.9;10.96;10.49;11.18;10.4;10.98;10.17;11.23;10.18;11.03;10.32;11.45
TASARETENCION;0;0;78.47;85.76;87.04;86.99;89.35;88.36;88.8;88.61;89.91;88.81;89.08;87.94;89.05;87.32;89.29;89.25;89.87;88.12;89.43;88.2;88.87;88.71;89.09;88.49;89.1;89.04;89.51;88.82;89.6;89.02;89.83;88.77;89.82;88.97;89.68;88.55
