TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2
DESERTORES;0;0;39214;28941;35829;39535;40022;47605;53995;56594;58528;68029;73912;84471;80859;96124;85667;86598;88525;106489;102529;117040;118207;120460;124495;131686;132086;131757;135377;143605;141970;149592;145450;162311;151362;163309;161134;176240
MATRICULADOS;182132;203282;276552;303820;375618;408925;482004;497037;579801;607835;676588;700196;738572;757980;799675;805718;874020;896003;970242;991596;1062418;1066563;1140605;1144098;1212258;1202196;1290360;1284786;1364828;1362136;1430772;1444905;1486724;1479968;1560972;1539137;1625035;1375339
