COHORTE;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38
2011-2;12.77;17.57;21.12;23.83;26.42;29.57;32.22;34.64;37.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-1;11.51;16.4;19.66;22.65;25.71;28.64;31.08;33.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-2;13.33;18.37;22.3;25.83;29.01;32.1;34.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-1;12.18;17.17;21.16;24.88;27.81;30.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-2;16.18;20.89;25.42;29.19;31.68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-1;13.86;19.44;23.27;26.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-2;14.99;21.75;26.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-1;15.06;21.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015-2;19.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
