;PUNT_COMP_CIUDADANA;PUNT_C_NATURALES;PUNT_GLOBAL;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_RAZONA_CUANT;PUNT_SOCIALES_CIUDADANAS
2014_2;7.003367255794977;6.675723036770544;27.16373471949986;5.701301668975793;6.665331938553843;6.522812115024635;6.8195144079114245;6.96884815425646
2015_1;8.250624917338646;8.237531514418396;31.97449010283149;6.533830425384563;6.18838182252419;8.156878869717223;8.892322372878308;8.581144759553002
2015_2;6.811300938834924;6.4572376434725935;29.27765440950474;6.498101249349252;6.23467000911924;7.722585170433798;8.684616246033821;7.543124007447365
2016_1;;6.868895290761207;;7.267359921982293;5.856629054559212;9.055000104792615;;8.145349197220835
2016_1_V2;;0.10369528828566443;1.0662514938328975;0.1189165477744412;0.09915324908367207;0.08935237485286676;;0.08303685711240796
2016_2;;0.18830509978498394;0.6913266463870094;0.2499813670532843;0.19545862562756308;0.2013529632906165;;0.18398793449084921
2017_1;;0.25979945668619664;0.8053995431852536;0.2583753244069576;0.2076576482974203;0.24404343173072354;;0.2617461450500965
