;PUNT_COMP_CIUDADANA;PUNT_C_NATURALES;PUNT_GLOBAL;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_RAZONA_CUANT;PUNT_SOCIALES_CIUDADANAS
2014_2;7.083947274001453;6.775863989900453;27.60803407652303;5.774958768519988;6.734817165475593;6.602621694609345;6.899463936460188;7.064498486615966
2015_1;8.523841908029052;8.569016964992489;33.11942485251133;6.7614150510565505;6.409055866635624;8.430067830764802;9.172070730155399;8.864176504466018
2015_2;6.889387279714471;6.561084008692591;29.79229455320975;6.598413914366891;6.315890765341625;7.849458360445152;8.821897060423698;7.6584352917991465
2016_1;;7.129263511604904;;7.524718131708346;6.096993900098452;9.410007601570026;;8.4828149567409
2016_1_V2;;0.10342035545397285;1.1114347632015373;0.13961098830799284;0.09362007230903947;0.08144785168241786;;0.08726580078757115
2016_2;;0.18850061689214115;0.7053871519467849;0.24908764716742066;0.1959420579819376;0.20463098558114132;;0.1849926696812581
2017_1;;0.2330255841881493;0.8730364055269708;0.2608695266170832;0.2134790066886226;0.22839666535368072;;0.2619659061144823
